elapsed_s,event,topic,payload
376.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:03"", ""student_id"": ""402101906""}"
376.39,message,home/telemetry/402101906,"{""cpu_temp_c"": 49.5, ""timestamp"": ""2026-08-04T07:03:03Z"", ""student_id"": ""402101906""}"
378.43,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:05"", ""student_id"": ""402101906""}"
378.44,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.7, ""timestamp"": ""2026-08-04T07:03:05Z"", ""student_id"": ""402101906""}"
380.36,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:07"", ""student_id"": ""402101906""}"
380.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T07:03:07Z"", ""student_id"": ""402101906""}"
382.37,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:03:09"", ""student_id"": ""402101906""}"
382.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 49.9, ""timestamp"": ""2026-08-04T07:03:09Z"", ""student_id"": ""402101906""}"
384.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:11"", ""student_id"": ""402101906""}"
384.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.8, ""timestamp"": ""2026-08-04T07:03:11Z"", ""student_id"": ""402101906""}"
386.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:13"", ""student_id"": ""402101906""}"
386.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 43.8, ""timestamp"": ""2026-08-04T07:03:13Z"", ""student_id"": ""402101906""}"
388.95,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:15"", ""student_id"": ""402101906""}"
388.95,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.8, ""timestamp"": ""2026-08-04T07:03:15Z"", ""student_id"": ""402101906""}"
390.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:03:17"", ""student_id"": ""402101906""}"
390.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.8, ""timestamp"": ""2026-08-04T07:03:17Z"", ""student_id"": ""402101906""}"
